Family;Genus;Species;Binomial;SPECIES_TPL;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;herbivores;mean_tm;tm_sd;tm_se;res
Myrtaceae;Myrtus;communis;Myrtus_communis;Myrtus_communis;D;Perennial;Shrub;10.39;NA;NA;8.344004421;1;0.400583333;NA;NA;-0.483252021
Lamiaceae;Ocimum;basilicum;Ocimum_basilicum;Ocimum_basilicum;D;Perennial;Herb;15.07864034;NA;NA;1.552569458;5;0.667;NA;NA;0.401696399
Oleaceae;Olea;europaea;Olea_europaea;Olea_europaea;D;Perennial;Tree;4.57;NA;NA;35.92140929;4;0.9745;NA;NA;-0.119631694
Asteraceae;Onopordum;illyricum;Onopordum_illyricum;Onopordum_illyricum;D;Biennial;Herb;22.19685453;NA;NA;1.113272096;1;0.568;NA;NA;-0.154859775
Papaveraceae;Papaver;dubium;Papaver_dubium;Papaver_dubium;D;Annual;Herb;23.43;NA;NA;1;6;0.24;NA;NA;-0.053292911
Papaveraceae;Papaver;somniferum;Papaver_somniferum;Papaver_somniferum;D;Annual;Herb;38.23;NA;NA;1.1;7;0.202;NA;NA;0.197364836
Fabaceae;Phaseolus;coccineus;Phaseolus_coccineus;Phaseolus_coccineus;D;Perennial;Liana;22.74652239;NA;NA;12.19197068;2;0.645;NA;0.1025;-0.210269759
Fabaceae;Phaseolus;lunatus;Phaseolus_lunatus;Phaseolus_lunatus;D;Annual;Liana;22.74652239;NA;NA;12.19197068;1;0.096444444;NA;NA;-0.547468594
Xanthorrhoeaceae;Phormium;tenax;Phormium_tenax;Phormium_tenax;M;Perennial;Shrub;24.1449486;NA;NA;5.613783409;1;0.919625;NA;0.07175;-0.277140663
Poaceae;Phyllostachys;edulis;Phyllostachys_edulis;Phyllostachys_edulis;M;Perennial;Graminoid;23.10697042;NA;NA;2.08850572;1;0.089;NA;0;0.080247888
Pinaceae;Picea;abies;Picea_abies;Picea_abies;G;Perennial;Tree;2.61;0.34;0.17;50;108;0.933428571;NA;NA;0.922272359
Pinaceae;Picea;engelmannii;Picea_engelmannii;Picea_engelmannii;G;Perennial;Tree;23.42169759;NA;NA;33.43180064;2;0.93;NA;0.034666667;0.182809756
Pinaceae;Picea;glauca;Picea_glauca;Picea_glauca;G;Perennial;Tree;26.7;NA;NA;30;4;0.845;NA;NA;0.180955109
Pinaceae;Picea;jezoensis;Picea_jezoensis;Picea_jezoensis;G;Perennial;Tree;4.814711427;NA;NA;51.76861352;2;0.9595;NA;NA;0.318071237
Pinaceae;Picea;mariana;Picea_mariana;Picea_mariana;G;Perennial;Tree;10.78;NA;NA;44.68646563;1;0.820333333;NA;NA;-0.270370841
Pinaceae;Picea;sitchensis;Picea_sitchensis;Picea_sitchensis;G;Perennial;Tree;6.3;NA;NA;60;4;0.870428571;NA;NA;-0.073319548
Pinaceae;Pinus;banksiana;Pinus_banksiana;Pinus_banksiana;G;Perennial;Tree;26.2;NA;NA;36.07430995;2;0.88;NA;NA;0.057086832
Pinaceae;Pinus;contorta;Pinus_contorta;Pinus_contorta;G;Perennial;Tree;22.03512151;NA;NA;36.75013333;4;0.946;NA;NA;0.168522908
Pinaceae;Pinus;densiflora;Pinus_densiflora;Pinus_densiflora;G;Perennial;Tree;7.899726933;NA;NA;40.82483072;1;0.955;NA;NA;-0.313106538
Pinaceae;Pinus;heldreichii;Pinus_heldreichii;Pinus_heldreichii;G;Perennial;Tree;9.154166613;NA;NA;38.59371493;2;0.801333333;NA;NA;0.534546763
Pinaceae;Pinus;parviflora;Pinus_parviflora;Pinus_parviflora;G;Perennial;Tree;11.52412047;NA;NA;40.32798139;1;0.5275;NA;NA;-0.054530566
Pinaceae;Pinus;pinaster;Pinus_pinaster;Pinus_pinaster;G;Perennial;Tree;2.4;0.82;0.29;30;6;0.976666667;NA;0.017;0.086323844
Pinaceae;Pinus;ponderosa;Pinus_ponderosa;Pinus_ponderosa;G;Perennial;Tree;16.5;NA;NA;37.64830227;1;0.91;NA;NA;-0.390322656
Pinaceae;Pinus;pungens;Pinus_pungens;Pinus_pungens;G;Perennial;Tree;18.84429306;NA;NA;37.26790028;1;1;NA;NA;0.096945304
Pinaceae;Pinus;resinosa;Pinus_resinosa;Pinus_resinosa;G;Perennial;Tree;7.601301012;NA;NA;41.35560378;1;0.81;NA;NA;-0.199671805
Pinaceae;Pinus;rigida;Pinus_rigida;Pinus_rigida;G;Perennial;Tree;18.84429306;NA;NA;37.26790028;1;0.95;NA;NA;-0.262299235
Pinaceae;Pinus;sibirica;Pinus_sibirica;Pinus_sibirica;G;Perennial;Tree;11.52412047;NA;NA;40.32798139;4;0.854;NA;NA;0.662455782
Pinaceae;Pinus;strobus;Pinus_strobus;Pinus_strobus;G;Perennial;Tree;11.60020555;NA;NA;40;10;0.923555556;NA;0.013666667;0.446676928
Pinaceae;Pinus;sylvestris;Pinus_sylvestris;Pinus_sylvestris;G;Perennial;Tree;4.99;NA;NA;46;7;0.9505;NA;NA;-0.307448285
Anacardiaceae;Pistacia;lentiscus;Pistacia_lentiscus;Pistacia_lentiscus;D;Perennial;Tree;4.8;NA;NA;9.466632408;6;0.974;NA;NA;0.039854121
Fabaceae;Pisum;sativum;Pisum_sativum;Pisum_sativum;D;Annual;Liana;20.75;NA;NA;1;15;0.07;NA;NA;0.285841688
Plantaginaceae;Plantago;lanceolata;Plantago_lanceolata;Plantago_lanceolata;D;Perennial;Herb;10.6;NA;NA;0.4;42;1;NA;NA;0.37624129
Plantaginaceae;Plantago;major;Plantago_major;Plantago_major;D;Perennial;Herb;16.5;NA;NA;0.6;21;0.046;NA;NA;0.151852314
Cupressaceae;Platycladus;orientalis;Platycladus_orientalis;Platycladus_orientalis;G;Perennial;Tree;8.763769901;NA;NA;10;2;0.7475;NA;NA;0.041629061
Primulaceae;Primula;vulgaris;Primula_vulgaris;Primula_vulgaris;D;Perennial;Herb;28.6;NA;NA;0.15;1;0.852;NA;NA;-0.805555478
Rosaceae;Prunus;avium;Prunus_avium;Prunus_avium;D;Perennial;Tree;10.1;0.468;0.27;25;62;0.949;NA;NA;0.716805542
Rosaceae;Prunus;mahaleb;Prunus_mahaleb;Prunus_mahaleb;D;Perennial;Shrub;23.2;NA;NA;6;13;0.45;NA;NA;0.370440121
Pinaceae;Pseudotsuga;menziesii;Pseudotsuga_menziesii;Pseudotsuga_menziesii;G;Perennial;Tree;7.17;NA;NA;90;14;0.9166;NA;NA;0.43807145
Fagaceae;Quercus;petraea_subsp._petraea;Quercus_petraea_subsp._petraea;Quercus_petraea;D;Perennial;Tree;8.68;0.26;0.13;45;107;1;NA;0.017;1.419278042
Fagaceae;Quercus;robur_subsp._robur;Quercus_robur_subsp._robur;Quercus_robur;D;Perennial;Tree;19.4;20.1;3.5;50;229;0.998375;NA;0.00025;1.757645184
Orobanchaceae;Rhinanthus;angustifolius;Rhinanthus_angustifolius;Rhinanthus_serotinus;D;Annual;Hemiparasite;22.96;NA;NA;0.7;4;0.762;NA;0.03;0.027193204
Orobanchaceae;Rhinanthus;minor;Rhinanthus_minor;Rhinanthus_minor;D;Annual;Hemiparasite;18.47;NA;NA;0.6;4;0.134;NA;0.026;-0.348595359
Ericaceae;Rhododendron;ferrugineum;Rhododendron_ferrugineum;Rhododendron_ferrugineum;D;Perennial;Shrub;13.21969606;NA;NA;1.5;2;0.51;NA;NA;-0.353909708
Fabaceae;Robinia;pseudoacacia;Robinia_pseudoacacia;Robinia_pseudoacacia;D;Perennial;Tree;18.73;NA;NA;30;9;0.824347826;NA;NA;0.027105538
Lamiaceae;Salvia;pratensis;Salvia_pratensis_subsp._pratensis;Salvia_pratensis;D;Perennial;Herb;25.92;NA;NA;1;2;0.645;NA;0.07725;-0.13401995
Rosaceae;Sanguisorba;officinalis;Sanguisorba_officinalis;Sanguisorba_officinalis;D;Perennial;Herb;15.43;NA;NA;1;21;0.914;NA;NA;0.445955522
Caprifoliaceae;Scabiosa;columbaria;Scabiosa_columbaria;Scabiosa_columbaria;D;Perennial;Herb;18.71;NA;NA;0.7;16;0.9655;NA;0.092;0.346710146
Sciadopityaceae;Sciadopitys;verticillata;Sciadopitys_verticillata;Sciadopitys_verticillata;G;Perennial;Tree;7.893758459;NA;NA;31.56992234;1;0.6405;NA;0.1535;0.059872883
Asteraceae;Senecio;squalidus;Senecio_squalidus;Senecio_squalidus;D;Perennial;Herb;27.08;NA;NA;0.33;4;0.638466667;NA;NA;0.177718896
Asteraceae;Senecio;vulgaris;Senecio_vulgaris;Senecio_vulgaris;D;Annual;Herb;38.5;NA;NA;0.3;15;0.21;NA;NA;0.114565794
Asteraceae;Silybum;marianum;Silybum_marianum;Silybum_marianum;D;Biennial;Herb;18.43683412;NA;NA;1.4;3;0.02;NA;NA;-0.101630951
Rosaceae;Sorbus;domestica;Sorbus_domestica;Sorbus_domestica;D;Perennial;Tree;9.9;NA;NA;15;2;0.672;NA;0.045;-0.242843893
