Reference;Family;Genus;Species;Binomial;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;min_height;herbivores;tm;tm_var;tm_sd;tm_se;occ;Complete Reference
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.98;;;0.012;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
Sun_(1998);Asteraceae;Centaurea;solstitialis;Centaurea_solstitialis;D;Annual;Herb;27.77;;;0.8;0.3;1;0.988;;;0.011;9448;Sun, M., and K. Ritland. 1998. Mating system of yellow starthistle (Centaurea solstitialis), a successful colonizer in North America. Heredity 80:225_232.
Vanbergen_(2014);Asteraceae;Cirsium;palustre;Cirsium_palustre;D;Biennial;Herb;15.66;;;1.3;0.4;25;0.982;;;0.007;385684;"	Vanbergen, A. J., B. A. Woodcock, A. Gray, F. Grant, A. Telford, P. Lambdon, D. S. Chapman, R. F. Pywell, M. S. Heard, and S. Cavers. 2014. Grazing alters insect visitation networks and plant mating systems. Functional Ecology 28:178-189."
Vanbergen_(2014);Asteraceae;Cirsium;palustre;Cirsium_palustre;D;Biennial;Herb;15.66;;;1.3;0.4;25;0.975;;;0.01;385684;"	Vanbergen, A. J., B. A. Woodcock, A. Gray, F. Grant, A. Telford, P. Lambdon, D. S. Chapman, R. F. Pywell, M. S. Heard, and S. Cavers. 2014. Grazing alters insect visitation networks and plant mating systems. Functional Ecology 28:178-189."
Vanbergen_(2014);Asteraceae;Cirsium;palustre;Cirsium_palustre;D;Biennial;Herb;15.66;;;1.3;0.4;25;0.833;;;0.088;385684;"	Vanbergen, A. J., B. A. Woodcock, A. Gray, F. Grant, A. Telford, P. Lambdon, D. S. Chapman, R. F. Pywell, M. S. Heard, and S. Cavers. 2014. Grazing alters insect visitation networks and plant mating systems. Functional Ecology 28:178-189."
Vanbergen_(2014);Asteraceae;Cirsium;palustre;Cirsium_palustre;D;Biennial;Herb;15.66;;;1.3;0.4;25;0.811;;;0.087;385684;"	Vanbergen, A. J., B. A. Woodcock, A. Gray, F. Grant, A. Telford, P. Lambdon, D. S. Chapman, R. F. Pywell, M. S. Heard, and S. Cavers. 2014. Grazing alters insect visitation networks and plant mating systems. Functional Ecology 28:178-189."
Vanbergen_(2014);Asteraceae;Cirsium;palustre;Cirsium_palustre;D;Biennial;Herb;15.66;;;1.3;0.4;25;0.709;;;0.114;385684;"	Vanbergen, A. J., B. A. Woodcock, A. Gray, F. Grant, A. Telford, P. Lambdon, D. S. Chapman, R. F. Pywell, M. S. Heard, and S. Cavers. 2014. Grazing alters insect visitation networks and plant mating systems. Functional Ecology 28:178-189."
Vanbergen_(2014);Asteraceae;Cirsium;palustre;Cirsium_palustre;D;Biennial;Herb;15.66;;;1.3;0.4;25;0.463;;;0.078;385684;"	Vanbergen, A. J., B. A. Woodcock, A. Gray, F. Grant, A. Telford, P. Lambdon, D. S. Chapman, R. F. Pywell, M. S. Heard, and S. Cavers. 2014. Grazing alters insect visitation networks and plant mating systems. Functional Ecology 28:178-189."
Vanbergen_(2014);Asteraceae;Cirsium;palustre;Cirsium_palustre;D;Biennial;Herb;15.66;;;1.3;0.4;25;0.437;;;0.04;385684;"	Vanbergen, A. J., B. A. Woodcock, A. Gray, F. Grant, A. Telford, P. Lambdon, D. S. Chapman, R. F. Pywell, M. S. Heard, and S. Cavers. 2014. Grazing alters insect visitation networks and plant mating systems. Functional Ecology 28:178-189."
Somme_(2014);Rosaceae;Comarum;palustre;Comarum_palustre;D;Perennial;Herb;21.11010942;;;5.103519986;;5;0.84;;;0.09;187966;"	Somme, L., C. Mayer, O. Raspe, and A. L. Jacquemart. 2014. Influence of spatial distribution and size of clones on the realized outcrossing rate of the marsh cinquefoil (Comarum palustre). Annals of Botany 113:477-487."
Somme_(2014);Rosaceae;Comarum;palustre;Comarum_palustre;D;Perennial;Herb;21.11010942;;;5.103519986;;5;0.83;;;0.1;187966;"	Somme, L., C. Mayer, O. Raspe, and A. L. Jacquemart. 2014. Influence of spatial distribution and size of clones on the realized outcrossing rate of the marsh cinquefoil (Comarum palustre). Annals of Botany 113:477-487."
Somme_(2014);Rosaceae;Comarum;palustre;Comarum_palustre;D;Perennial;Herb;21.11010942;;;5.103519986;;5;0.46;;;0.06;187966;"	Somme, L., C. Mayer, O. Raspe, and A. L. Jacquemart. 2014. Influence of spatial distribution and size of clones on the realized outcrossing rate of the marsh cinquefoil (Comarum palustre). Annals of Botany 113:477-487."
Somme_(2014);Rosaceae;Comarum;palustre;Comarum_palustre;D;Perennial;Herb;21.11010942;;;5.103519986;;5;0.33;;;0.07;187966;"	Somme, L., C. Mayer, O. Raspe, and A. L. Jacquemart. 2014. Influence of spatial distribution and size of clones on the realized outcrossing rate of the marsh cinquefoil (Comarum palustre). Annals of Botany 113:477-487."
Vrieling_(1999);Boraginaceae;Cynoglossum;officinale;Cynoglossum_officinale;D;Biennial;Herb;24.2;;;0.9;0.25;11;0.678;;;;40686;Vrieling, K., L. Saumitou, P., J. Cuguen, H. vanDijk, T. J. deJong, and P. G. L. Klinkhamer. 1999. Direct and indirect estimates of the selfing rate in small and large individuals of the bumblebee pollinated Cynoglossum officinale L. (Boraginaceae). Ecology Letters 2:331_337.
Ennos_(1985);Poaceae;Cynosurus;cristatus;Cynosurus_cristatus;M;Perennial;Graminoid;23.16;;;0.75;0.25;2;0.94;;;;214395;Ennos RA. 1985. The mating system and genetic structure in a perennial grass, Cynosurus cristatus L.. Heredity 55:121_126
Ennos_(1985);Poaceae;Cynosurus;cristatus;Cynosurus_cristatus;M;Perennial;Graminoid;23.16;;;0.75;0.25;2;0.93;;;;214395;Ennos RA. 1985. The mating system and genetic structure in a perennial grass, Cynosurus cristatus L.. Heredity 55:121_126
Ennos_(1985);Poaceae;Cynosurus;cristatus;Cynosurus_cristatus;M;Perennial;Graminoid;23.16;;;0.75;0.25;2;1.02;;;;214395;Ennos RA. 1985. The mating system and genetic structure in a perennial grass, Cynosurus cristatus L.. Heredity 55:121_126
Motten_(1992);Solanaceae;Datura;stramonium;Datura_stramonium;D;Annual;Herb;41.95;;;2;0.3;3;0.013;;;;40995;Motten, A. F., and J. Antonovics. 1992. Determinants of outcrossing rate in a predominantly self_fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 79:419_4127.
Motten_(2000);Solanaceae;Datura;stramonium;Datura_stramonium;D;Annual;Herb;41.95;;;2;0.3;3;0.076;;;;40995;Motten, A. F., and J. L. Stone. 2000. Heritability of stigma position and the effect of stigma_anther separation on outcrossing in a predominantly self_fertilizing weed, Datura stramonium (Solanaceae). American Journal of Botany 87:339_347.
Bush_(1993);Poaceae;Deschampsia;cespitosa;Deschampsia_cespitosa;M;Perennial;Graminoid;14.15;;;2;0.06;1;0.87;;;0.077;440354;Bush EJ, SCH Barrett. 1993. Genetics of mine invasions by Deschampsia cespitosa (Poaceae). Can. J. Bot. 71:1336_1348
Bush_(1993);Poaceae;Deschampsia;cespitosa;Deschampsia_cespitosa;M;Perennial;Graminoid;14.15;;;2;0.06;1;0.97;;;0.092;440354;Bush EJ, SCH Barrett. 1993. Genetics of mine invasions by Deschampsia cespitosa (Poaceae). Can. J. Bot. 71:1336_1348
Burdon_(1986);Boraginaceae;Echium;plantagineum;Echium_plantagineum;D;Annual;Herb;32.85;;;0.6;0.2;1;0.73;;;0.04;52044;Burdon, J. J., and A. H. D. Brown. 1986. Population genetics of Echium plantagineum L. - Target weed for biological control. Australian Journal of Biological Science 39:369_378.
Burdon_(1988);Boraginaceae;Echium;plantagineum;Echium_plantagineum;D;Annual;Herb;32.85;;;0.6;0.2;1;0.875;;;;52044;Burdon, J. J., A. M. Jarosz, and A. H. D. Brown. 1988. Temporal patterns of reproduction and outcrossing in weedy populations of Echium plantagineum. Biological Journal of the Linnean Society 34:81_92.
Burdon_(1988);Boraginaceae;Echium;plantagineum;Echium_plantagineum;D;Annual;Herb;32.85;;;0.6;0.2;1;0.97;;;0.06;52044;Burdon, J. J., A. M. Jarosz, and A. H. D. Brown. 1988. Temporal patterns of reproduction and outcrossing in weedy populations of Echium plantagineum. Biological Journal of the Linnean Society 34:81_92.
Burdon_(1988);Boraginaceae;Echium;plantagineum;Echium_plantagineum;D;Annual;Herb;32.85;;;0.6;0.2;1;0.97;;;0.07;52044;Burdon, J. J., A. M. Jarosz, and A. H. D. Brown. 1988. Temporal patterns of reproduction and outcrossing in weedy populations of Echium plantagineum. Biological Journal of the Linnean Society 34:81_92.
Rademaker_(1999);Boraginaceae;Echium;vulgare;Echium_vulgare;D;Biennial;Herb;12.9;;;0.9;0.2;25;0.875;;;;128531;Rademaker, M. C. J., T. J. De Jong, and E. Van der Meijden. 1999. Selfing rates in natural populations of Echium vulgare: a combined empirical and model approach. Functional Ecology 13:828_837.
Ozimec_(2011);Onagraceae;Chamerion;angustifolium;Chamerion_angustifolium;D;Perennial;Herb;27.05;;;1.2;0.3;29;1;;;0.11;115045;"	Ozimec, B. and B. C. Husband. 2011. Effect of recurrent selfing on inbreeding depression and mating system evolution in an autopolyploid plant Evolution 65:2038-2049."
Ozimec_(2011);Onagraceae;Chamerion;angustifolium;Chamerion_angustifolium;D;Perennial;Herb;27.05;;;1.2;0.3;29;0.77;;;0.098;115045;"	Ozimec, B. and B. C. Husband. 2011. Effect of recurrent selfing on inbreeding depression and mating system evolution in an autopolyploid plant Evolution 65:2038-2049."
Ozimec_(2011);Onagraceae;Chamerion;angustifolium;Chamerion_angustifolium;D;Perennial;Herb;27.05;;;1.2;0.3;29;0.77;;;0.095;115045;"	Ozimec, B. and B. C. Husband. 2011. Effect of recurrent selfing on inbreeding depression and mating system evolution in an autopolyploid plant Evolution 65:2038-2049."
Ozimec_(2011);Onagraceae;Chamerion;angustifolium;Chamerion_angustifolium;D;Perennial;Herb;27.05;;;1.2;0.3;29;0.73;;;0.115;115045;"	Ozimec, B. and B. C. Husband. 2011. Effect of recurrent selfing on inbreeding depression and mating system evolution in an autopolyploid plant Evolution 65:2038-2049."
Husband_(1995);Onagraceae;Chamerion;angustifolium;Chamerion_angustifolium;D;Perennial;Herb;27.05;;;1.2;0.3;29;0.94;;;;115045;Husband BC, DW Schemske. 1995. . Magnitude and timing of inbreeding depression in a diploid population of Epilobium angustifolium (Onagraceae)
Parker_(1995);Onagraceae;Chamerion;angustifolium;Chamerion_angustifolium;D;Perennial;Herb;27.05;;;1.2;0.3;29;0.64;;;0.08;115045;Parker, I. M., R. R. Nakamura, and D. W. Schemske. 1995. Reproductive allocation and the fitness consequences of selfing in 2 sympatric species of Epilobium (Onagraceae) with contrasting mating systems. American Journal of Botany 82:1007_1016.
Gaudeul_(2003);Apiaceae;Eryngium;alpinum;Eryngium_alpinum;D;Perennial;Herb;22.56690934;;;1.988618064;;1;1.05;;;;2167;Gaudeul, M., and I. Till_Bottraud. 2003. Low selfing in a mass_flowering, endangered perennial, Eryngium alpinum L. (Apiaceae). American Journal of Botany 90:716_723.
Gaudeul_(2003);Apiaceae;Eryngium;alpinum;Eryngium_alpinum;D;Perennial;Herb;22.56690934;;;1.988618064;;1;0.96;;;;2167;Gaudeul, M., and I. Till_Bottraud. 2003. Low selfing in a mass_flowering, endangered perennial, Eryngium alpinum L. (Apiaceae). American Journal of Botany 90:716_723.
Gaudeul_(2003);Apiaceae;Eryngium;alpinum;Eryngium_alpinum;D;Perennial;Herb;22.56690934;;;1.988618064;;1;0.65;;;;2167;Gaudeul, M., and I. Till_Bottraud. 2003. Low selfing in a mass_flowering, endangered perennial, Eryngium alpinum L. (Apiaceae). American Journal of Botany 90:716_723.
Wang_(2003);Fagaceae;Fagus;sylvatica_var._atropunicea;Fagus_sylvatica_var._atropunicea;D;Perennial;Tree;31.94;;;50;19;4;1.015;;;;440755;Wang, K. S. 2003. Relationship between empty seed and genetic factors in European beech (Fagus sylvatica L.). Silva Fennica 37:419_428.
Weidema_(2000);Rosaceae;Filipendula;vulgaris;Filipendula_vulgaris;D;Perennial;Herb;13.75;;;0.8;0.15;4;0.96;;;;64636;Weidema IR, Magnussen LS, M Philipp. 2000. Gene flow and mode of pollination in a dry_grassland species, Filipendula vulgaris (Rosaceae). Heredity 84:311_320
Bacles_(2005);Oleaceae;Fraxinus;excelsior;Fraxinus_excelsior;D;Perennial;Tree;12;13.23;5;43;10;55;0.984;;;0.009;565142;"	Bacles, C. F. E., J. Burczyk, A. J. Lowe, and R. A. Ennos. 2005. Historical and contemporary mating patterns in remnant populations of the forest tree Fraxinus excelsior L. Evolution 59:979-990."
Bacles_(2005);Oleaceae;Fraxinus;excelsior;Fraxinus_excelsior;D;Perennial;Tree;12;13.23;5;43;10;55;0.973;;;0.102;565142;"	Bacles, C. F. E., J. Burczyk, A. J. Lowe, and R. A. Ennos. 2005. Historical and contemporary mating patterns in remnant populations of the forest tree Fraxinus excelsior L. Evolution 59:979-990."
Bacles_(2005);Oleaceae;Fraxinus;excelsior;Fraxinus_excelsior;D;Perennial;Tree;12;13.23;5;43;10;55;0.938;;;0.022;565142;"	Bacles, C. F. E., J. Burczyk, A. J. Lowe, and R. A. Ennos. 2005. Historical and contemporary mating patterns in remnant populations of the forest tree Fraxinus excelsior L. Evolution 59:979-990."
Stefan_(2012);Geraniaceae;Geranium;pratense;Geranium_pratense;D;Perennial;Herb;21.4;;;0.8;0.2;12;0.885;;;;44661;Stefan G. Michalski, Walter Durka. 2012. Assessment of provenance delineation by genetic differentiation patterns and estimates of gene flow in the common grassland plant Geranium pratense. Conserv Genet 13:581_592
Stefan_(2012);Geraniaceae;Geranium;pratense;Geranium_pratense;D;Perennial;Herb;21.4;;;0.8;0.2;12;0.93;;;;44661;Stefan G. Michalski, Walter Durka. 2012. Assessment of provenance delineation by genetic differentiation patterns and estimates of gene flow in the common grassland plant Geranium pratense. Conserv Genet 13:581_592
Stefan_(2012);Geraniaceae;Geranium;pratense;Geranium_pratense;D;Perennial;Herb;21.4;;;0.8;0.2;12;0.837;;;;44661;Stefan G. Michalski, Walter Durka. 2012. Assessment of provenance delineation by genetic differentiation patterns and estimates of gene flow in the common grassland plant Geranium pratense. Conserv Genet 13:581_592
Ruhsam_(2010);Rosaceae;Geum;rivale;Geum_rivale;D;Perennial;Herb;22.3;;;0.6;0.2;4;0.775;;;0.068;139093;Ruhsam, M., Hollingsworth, P. M., Squirrell, J., Ennos, R. A. 2010. Significant differences in outcrossing rates, self-incompatibility, and inbreeding depression between two widely hybridizing species of Geum. Biological Journal of Linnean Society. 101: 977-990.
Ruhsam_(2010);Rosaceae;Geum;rivale;Geum_rivale;D;Perennial;Herb;22.3;;;0.6;0.2;4;0.686;;;0.07;139093;Ruhsam, M., Hollingsworth, P. M., Squirrell, J., Ennos, R. A. 2010. Significant differences in outcrossing rates, self-incompatibility, and inbreeding depression between two widely hybridizing species of Geum. Biological Journal of Linnean Society. 101: 977-990.
Vandepitte_(2010);Rosaceae;Geum;urbanum;Geum_urbanum;D;Perennial;Herb;41.5;;;0.8;0.2;7;0.075;;;;343949;K. Vandepitte, O. Honnay, H. Jacquemyn, I. Rolda_n_Ruiz. 2010. Effects of outcrossing in fragmented populations of the primarily selfing forest herb Geum urbanum, Evol Ecol 24:1353_1364
Ruhsam_(2010)b;Rosaceae;Geum;urbanum;Geum_urbanum;D;Perennial;Herb;41.5;;;0.8;0.2;7;0.177;;;0.046;343949;Ruhsam, M., Hollingsworth, P. M., Squirrell, J., Ennos, R. A. 2010. Significant differences in outcrossing rates, self-incompatibility, and inbreeding depression between two widely hybridizing species of Geum. Biological Journal of Linnean Society. 101: 977-990.
Ruhsam_(2010)b;Rosaceae;Geum;urbanum;Geum_urbanum;D;Perennial;Herb;41.5;;;0.8;0.2;7;0.058;;;0.048;343949;Ruhsam, M., Hollingsworth, P. M., Squirrell, J., Ennos, R. A. 2010. Significant differences in outcrossing rates, self-incompatibility, and inbreeding depression between two widely hybridizing species of Geum. Biological Journal of Linnean Society. 101: 977-990.
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.063;;;0.021;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.052;;;0.042;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.052;;;0.026;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.032;;;0.021;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.031;;;0.022;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.031;;;0.023;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.021;;;0.024;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.021;;;0.023;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.01;;;0.007;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.01;;;0.01;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0;;;0;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0;;;0;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0;;;0;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Kuroda_(2008);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0;;;0;144732;"	Kuroda, Y., A. Kaga, N. Tomooka, and D. A. Vaughan. 2008. Gene flow and genetic structure of wild soybean (Glycine soja) in Japan. Crop Science 48:1071-1079."
Zhao_(2009);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.17;;;0.035;144732;"	Zhao, R., H. Xia, and B.-r. Lu. 2009. Fine-scale genetic structure enhances biparental inbreeding by promoting mating events between more related individuals in wild soybean (Glycine soja"
Zhao_(2009);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.163;;;0.072;144732;"	Zhao, R., H. Xia, and B.-r. Lu. 2009. Fine-scale genetic structure enhances biparental inbreeding by promoting mating events between more related individuals in wild soybean (Glycine soja"
Zhao_(2009);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.135;;;0.092;144732;"	Zhao, R., H. Xia, and B.-r. Lu. 2009. Fine-scale genetic structure enhances biparental inbreeding by promoting mating events between more related individuals in wild soybean (Glycine soja"
Zhao_(2009);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.128;;;0.081;144732;"	Zhao, R., H. Xia, and B.-r. Lu. 2009. Fine-scale genetic structure enhances biparental inbreeding by promoting mating events between more related individuals in wild soybean (Glycine soja"
Fujita_(1997);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.19;;;0.028;144732;"	Fujita, R., M. Ohara, K. Okazaki, and Y. Shimamoto. 1997. The extent of natural cross-pollination in wild soybean (Glycine soja). Journal of Heredity 88:124-128."
Fujita_(1997);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.122;;;0.037;144732;"	Fujita, R., M. Ohara, K. Okazaki, and Y. Shimamoto. 1997. The extent of natural cross-pollination in wild soybean (Glycine soja). Journal of Heredity 88:124-128."
Fujita_(1997);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.115;;;0.028;144732;"	Fujita, R., M. Ohara, K. Okazaki, and Y. Shimamoto. 1997. The extent of natural cross-pollination in wild soybean (Glycine soja). Journal of Heredity 88:124-128."
Fujita_(1997);Fabaceae;Glycine;max;Glycine_max;D;Annual;Herb;22.74084246;;;12.18981406;;3;0.093;;;0.026;144732;"	Fujita, R., M. Ohara, K. Okazaki, and Y. Shimamoto. 1997. The extent of natural cross-pollination in wild soybean (Glycine soja). Journal of Heredity 88:124-128."
Yagoubi_(2000);Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.01523477;;;6.848308737;;1;0.837;;;0.11;1620;Yagoubi, N., and A. Chriki. 2000. Estimation of mating system parameters in Hedysarum coronarium L. (Leguminoseae, Fabaceae). Agronomie 20:933_942.
Yagoubi_(2000);Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.01523477;;;6.848308737;;1;0.815;;;0.123;1620;Yagoubi, N., and A. Chriki. 2000. Estimation of mating system parameters in Hedysarum coronarium L. (Leguminoseae, Fabaceae). Agronomie 20:933_942.
Yagoubi_(2000);Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.01523477;;;6.848308737;;1;0.902;;;0.081;1620;Yagoubi, N., and A. Chriki. 2000. Estimation of mating system parameters in Hedysarum coronarium L. (Leguminoseae, Fabaceae). Agronomie 20:933_942.
Louati_(2000);Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.01523477;;;6.848308737;;1;0.822;;0.126;;1620;Louati_Namouchi, I., M. Louati, and A. Chriki. 2000. Mating system and multiple paternity in Hedysarum coronarium L. (Fabaceae). Agronomie 20:655_663.
Louati_(2000);Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.01523477;;;6.848308737;;1;0.925;;0.09;;1620;Louati_Namouchi, I., M. Louati, and A. Chriki. 2000. Mating system and multiple paternity in Hedysarum coronarium L. (Fabaceae). Agronomie 20:655_663.
Louati_(2000);Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.01523477;;;6.848308737;;1;0.833;;0.066;;1620;Louati_Namouchi, I., M. Louati, and A. Chriki. 2000. Mating system and multiple paternity in Hedysarum coronarium L. (Fabaceae). Agronomie 20:655_663.
Louati_(2000);Fabaceae;Hedysarum;coronarium;Hedysarum_coronarium;D;Perennial;Herb;23.01523477;;;6.848308737;;1;1.013;;0.055;;1620;Louati_Namouchi, I., M. Louati, and A. Chriki. 2000. Mating system and multiple paternity in Hedysarum coronarium L. (Fabaceae). Agronomie 20:655_663.
Ellstrand_(1978);Asteraceae;Helianthus;annuus;Helianthus_annuus;D;Annual;Herb;21.32;;;2.7;0.9;6;0.91;;;;43856;Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403_407
Ellstrand_(1978);Asteraceae;Helianthus;annuus;Helianthus_annuus;D;Annual;Herb;21.32;;;2.7;0.9;6;0.74;;;;43856;Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403_407
Ellstrand_(1978);Asteraceae;Helianthus;annuus;Helianthus_annuus;D;Annual;Herb;21.32;;;2.7;0.9;6;0.86;;;;43856;Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403_407
Ellstrand_(1978);Asteraceae;Helianthus;annuus;Helianthus_annuus;D;Annual;Herb;21.32;;;2.7;0.9;6;0.54;;;;43856;Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403_407
Ellstrand_(1978);Asteraceae;Helianthus;annuus;Helianthus_annuus;D;Annual;Herb;21.32;;;2.7;0.9;6;0.79;;;;43856;Ellstrand NC, Torres AM, DA Levin. 1978. Density and the rate of apparent outcrossing in Helianthus annuus (Asteraceae). Syst Bot 3:403_407
Babbel_(1977);Poaceae;Hordeum;jubatum;Hordeum_jubatum;M;Perennial;Graminoid;20.3;;;1.603263246;;1;0.017;;;;12200;Babbel, G. R., and R. P. Wain. 1977. Genetic structure of Hordeum jubatum. I. Outcrossing rates and heterozygosity levels. Canadian Journal of Genetics and Cytology 19:143_152.
Babbel_(1977);Poaceae;Hordeum;jubatum;Hordeum_jubatum;M;Perennial;Graminoid;20.3;;;1.603263246;;1;0.009;;0.009;;12200;Babbel, G. R., and R. P. Wain. 1977. Genetic structure of Hordeum jubatum. I. Outcrossing rates and heterozygosity levels. Canadian Journal of Genetics and Cytology 19:143_152.
Allard_(1972);Poaceae;Hordeum;vulgare;Hordeum_vulgare;M;Annual;Graminoid;21.96;;;1.5;0.6;22;0.006;;;;295795;Allard RW, Kahler AL, BS Weir. 1972. The effect of selection on esterase allozymes in a barley population. Genetics 72:489_503
Parzies_(2000);Poaceae;Hordeum;vulgare;Hordeum_vulgare;M;Annual;Graminoid;21.96;;;1.5;0.6;22;0.025;;;;295795;Parzies, H. K., W. Spoor, and R. A. Ennos. 2000. Outcrossing rates of barley landraces from Syria. Plant Breeding 119:520_522.
Parzies_(2000);Poaceae;Hordeum;vulgare;Hordeum_vulgare;M;Annual;Graminoid;21.96;;;1.5;0.6;22;0.002;;;;295795;Parzies, H. K., W. Spoor, and R. A. Ennos. 2000. Outcrossing rates of barley landraces from Syria. Plant Breeding 119:520_522.
