Reference;Family;Genus;Species;Binomial;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;min_height;herbivores;tm;tm_var;tm_sd;tm_se;occ;Complete Reference
Bacilieri_(1996);Fagaceae;Quercus;petraea_subsp._petraea;Quercus_petraea_subsp._petraea;D;Perennial;Tree;8.68;0.26;0.13;45;18;107;0.995;;;0.012;24713;Bacilieri, R., Ducousso, A., Petit, R. J., Kremer, A. 1996. Mating system and asymmetric hybridization in a mixed stand of european oaks. Evolution. 50: 900-908.
Bacilieri_(1996);Fagaceae;Quercus;petraea_subsp._petraea;Quercus_petraea_subsp._petraea;D;Perennial;Tree;8.68;0.26;0.13;45;18;107;1;;;0.022;24713;Bacilieri, R., Ducousso, A., Petit, R. J., Kremer, A. 1996. Mating system and asymmetric hybridization in a mixed stand of european oaks. Evolution. 50: 900-908.
Ducarme_(2013);Orobanchaceae;Rhinanthus;angustifolius;Rhinanthus_angustifolius;D;Annual;Hemiparasite;22.96;;;0.7;0.1;4;0.762;;;0.03;20531;Ducarme, V., Wesselingh, R. A. 2013. Outcrossing rates in two self-compatible, hybridising Rhinanthus species: impliations for hybrid formation. Plant Biology. 15: 541-547.
Ducarme_(2013)b;Orobanchaceae;Rhinanthus;minor;Rhinanthus_minor;D;Annual;Hemiparasite;18.47;;;0.6;0.1;4;0.134;;;0.026;148261;Ducarme, V., Wesselingh, R. A. 2013. Outcrossing rates in two self-compatible, hybridising Rhinanthus species: impliations for hybrid formation. Plant Biology. 15: 541-547.
Delmas_(2015);Ericaceae;Rhododendron;ferrugineum;Rhododendron_ferrugineum;D;Perennial;Shrub;13.13262109;;;1.5;0.3;2;0.51;;;;31287;Delmas, C. E. L., Escaravage, N., Cheptou, P.O., Charrier, O., Ruzafa, S., Winterton, P., Pornon, A. 2015. Relative impact of mate versus pollinator availability on pollen limitation and outcrossing rates in a mass-flowering species. Plant Biology. 17: 209-218.
VanTreuren_(1994);Caprifoliaceae;Scabiosa;columbaria;Scabiosa_columbaria;D;Perennial;Herb;18.71;;;0.7;0.15;16;0.874;;;0.093;90777;VanTreuren, R., Bijlsma, R., Ouborg, N. J., Kwak, M. M. Relationships between plant density, outcrossing rates and seed set in natural and experimental populations of Scabiosa columbaria. Journal of Evolutionary Biology. 7: 287-302.
VanTreuren_(1994);Caprifoliaceae;Scabiosa;columbaria;Scabiosa_columbaria;D;Perennial;Herb;18.71;;;0.7;0.15;16;1;;;0.096;90777;VanTreuren, R., Bijlsma, R., Ouborg, N. J., Kwak, M. M. Relationships between plant density, outcrossing rates and seed set in natural and experimental populations of Scabiosa columbaria. Journal of Evolutionary Biology. 7: 287-302.
VanTreuren_(1994);Caprifoliaceae;Scabiosa;columbaria;Scabiosa_columbaria;D;Perennial;Herb;18.71;;;0.7;0.15;16;0.842;;;0.069;90777;VanTreuren, R., Bijlsma, R., Ouborg, N. J., Kwak, M. M. Relationships between plant density, outcrossing rates and seed set in natural and experimental populations of Scabiosa columbaria. Journal of Evolutionary Biology. 7: 287-302.
VanTreuren_(1994);Caprifoliaceae;Scabiosa;columbaria;Scabiosa_columbaria;D;Perennial;Herb;18.71;;;0.7;0.15;16;1.12;;;0.11;90777;VanTreuren, R., Bijlsma, R., Ouborg, N. J., Kwak, M. M. Relationships between plant density, outcrossing rates and seed set in natural and experimental populations of Scabiosa columbaria. Journal of Evolutionary Biology. 7: 287-302.
Worth_(2014);Sciadopityaceae;Sciadopitys;verticillata;Sciadopitys_verticillata;G;Perennial;Tree;9.73441946;;;31.58455837;;1;0.489;;;0.218;728;Worth, J. R. P., Yokogawa, M., Isagi, Y. 2014. Outcrossing rates and organelle inheritance estimated from two natural populationsof the Japanese endemic conifer Sciadopitys verticillata. Journal of Plant Research. 127: 617-626.
Worth_(2014);Sciadopityaceae;Sciadopitys;verticillata;Sciadopitys_verticillata;G;Perennial;Tree;9.73441946;;;31.58455837;;1;0.792;;;0.089;728;Worth, J. R. P., Yokogawa, M., Isagi, Y. 2014. Outcrossing rates and organelle inheritance estimated from two natural populationsof the Japanese endemic conifer Sciadopitys verticillata. Journal of Plant Research. 127: 617-626.
Kamm_(2011);Rosaceae;Sorbus;domestica;Sorbus_domestica;D;Perennial;Tree;9.9;;;15;8;2;0.672;;;0.045;17442;Kamm, U., Gulergi, F., Rotach, P., Edwards, P., Holderegger, R. 2011. Genetic consequences of low local tree densities - implications for the management of naturally rare, insect pollinated species in temperate forests. Forest Ecology and Management 262: 1047-1053.
Cook_(1999);Asteraceae;Tragopogon;dubius;Tragopogon_dubius;D;Biennial;Herb;25.3;;;0.55;0.3;3;0.063;;;;18241;Cook, L M., Soltis, P. S. 1999. Mating system of diploid and allotetraploid populations of Tragopogon (Asteraceae). I. Natural populations. Heredity. 82: 237-244.
Cook_(1999);Asteraceae;Tragopogon;dubius;Tragopogon_dubius;D;Biennial;Herb;25.3;;;0.55;0.3;3;0.245;;;;18241;Cook, L M., Soltis, P. S. 1999. Mating system of diploid and allotetraploid populations of Tragopogon (Asteraceae). I. Natural populations. Heredity. 82: 237-244.
Nielsen_(2010);Ulmaceae;Ulmus;laevis;Ulmus_laevis;D;Perennial;Tree;46.1;;;35;;22;0.986;;;0.013;14017;Nielsen, L. R., Kjaer, E. D. 2010. Fine-scale gene flow and genetic structurein relic Ulmus laevis population at its northern range. Tree Genetics and Genomics. 6: 643-649.
Nielsen_(2010);Ulmaceae;Ulmus;laevis;Ulmus_laevis;D;Perennial;Tree;46.1;;;35;;22;1;;;0.008;14017;Nielsen, L. R., Kjaer, E. D. 2010. Fine-scale gene flow and genetic structurein relic Ulmus laevis population at its northern range. Tree Genetics and Genomics. 6: 643-649.
